account_id,customer_id,account_type,currency,balance,opened_date,status,branch_code,interest_rate,last_activity_date
A0001,C0258,SAVINGS,ZAR,47237.12,2025-04-20,ACTIVE,BR719,0.65,2025-08-13
A0002,C0525,FIXED_DEPOSIT,ZAR,1653550.27,2018-03-01,DORMANT,BR123,2.74,2019-08-06
A0003,C0358,MONEY_MARKET,ZAR,1359311.5,2017-06-29,ACTIVE,BR140,11.59,2018-04-02
A0004,C0891,CHEQUE,ZAR,42691.97,2025-09-02,ACTIVE,BR135,0.0,2026-09-07
A0005,C0473,FIXED_DEPOSIT,ZAR,276561.51,2021-01-18,ACTIVE,BR386,1.3,2021-09-06
A0006,C0606,MONEY_MARKET,ZAR,4202385.01,2023-09-25,ACTIVE,BR678,3.08,2025-04-01
A0007,C0246,FIXED_DEPOSIT,ZAR,1681975.5,2024-10-03,ACTIVE,BR160,7.96,2026-06-25
A0008,C0978,FIXED_DEPOSIT,ZAR,1272240.65,2017-02-08,ACTIVE,BR868,3.82,2022-04-30
A0009,C0748,SAVINGS,ZAR,367715.82,2022-08-02,ACTIVE,BR862,5.18,2024-01-07
A0010,C0210,CREDIT,ZAR,-81666.78,2020-07-24,ACTIVE,BR607,10.6,2022-03-06
A0011,C0015,CHEQUE,ZAR,49328.02,2019-04-01,DORMANT,BR761,0.0,2021-08-24
A0012,C0103,CHEQUE,ZAR,17115.87,2020-09-13,DORMANT,BR152,0.0,2021-02-05
A0013,C0392,CHEQUE,ZAR,102797.3,2019-06-05,ACTIVE,BR490,0.0,2021-11-02
A0014,C0013,SAVINGS,ZAR,74739.71,2021-04-29,ACTIVE,BR811,8.33,2021-08-21
A0015,C0036,CHEQUE,ZAR,1518.49,2024-09-25,ACTIVE,BR911,0.0,2025-05-25
A0016,C0822,MONEY_MARKET,ZAR,2099817.67,2026-01-06,ACTIVE,BR684,4.82,2026-04-20
A0017,C0032,CREDIT,ZAR,-99002.36,2022-07-17,ACTIVE,BR719,4.26,2022-11-16
A0018,C0250,SAVINGS,ZAR,68367.09,2021-07-20,CLOSED,BR676,12.09,2021-09-11
A0019,C0631,MONEY_MARKET,ZAR,2334321.68,2018-06-04,ACTIVE,BR897,0.92,2023-06-27
A0020,C0096,CHEQUE,ZAR,17377.2,2017-10-18,ACTIVE,BR489,0.0,2024-02-23
A0021,C0522,SAVINGS,ZAR,236359.74,2024-05-02,ACTIVE,BR499,6.45,2024-11-08
A0022,C0824,SAVINGS,ZAR,411831.35,2016-04-12,ACTIVE,BR826,9.78,2024-08-13
A0023,C0115,MONEY_MARKET,ZAR,4994028.39,2024-11-19,ACTIVE,BR271,7.07,2025-01-28
