policy_id,customer_id,policy_type,status,start_date,end_date,premium_amount,cover_amount,currency,payment_frequency,beneficiary_count,underwriting_status
POL0001,C0290,FUNERAL,ACTIVE,2022-04-28,2037-04-24,396.43,12273.18,ZAR,MONTHLY,1,SUBSTANDARD
POL0002,C0043,RETIREMENT,MATURED,2017-06-12,2042-06-06,4605.94,128823.43,ZAR,QUARTERLY,2,STANDARD
POL0003,C0125,LIFE,CANCELLED,2022-11-27,2052-11-19,4756.54,2024007.67,ZAR,QUARTERLY,3,SUBSTANDARD
POL0004,C0290,RETIREMENT,PAID_UP,2020-04-14,2050-04-07,16748.93,419400.79,ZAR,ANNUALLY,4,STANDARD
POL0005,,RETIREMENT,ACTIVE,2021-02-06,2026-02-05,12952.6,942883.45,ZAR,ANNUALLY,2,STANDARD
POL0006,C0595,RETIREMENT,ACTIVE,2017-10-28,2047-10-21,19937.2,922434.39,ZAR,QUARTERLY,4,STANDARD
POL0007,C0339,HEALTH,ACTIVE,2021-01-27,2036-01-24,4541.78,3215169.47,ZAR,ANNUALLY,3,STANDARD
POL0008,C0028,INVESTMENT,ACTIVE,2020-09-07,2030-09-05,8712.58,357945.67,ZAR,MONTHLY,2,STANDARD
POL0009,C0999,HEALTH,ACTIVE,2020-11-21,2040-11-16,5699.13,114651.91,ZAR,MONTHLY,1,STANDARD
POL0010,C0499,INVESTMENT,MATURED,2023-11-27,2053-11-19,14219.44,523991.5,ZAR,MONTHLY,5,STANDARD
POL0011,C0499,RETIREMENT,ACTIVE,2019-03-31,2049-03-23,26193.8,845270.42,ZAR,MONTHLY,4,STANDARD
POL0012,C0846,LIFE,LAPSED,2021-12-15,2031-12-13,3843.66,1390425.58,ZAR,QUARTERLY,4,SUBSTANDARD
POL0013,C0012,HEALTH,CANCELLED,2025-11-22,2055-11-15,6323.75,3352136.23,ZAR,MONTHLY,3,SUBSTANDARD
POL0014,C0019,LIFE,ACTIVE,2022-04-19,2027-04-18,1161.91,474495.88,ZAR,QUARTERLY,4,STANDARD
POL0015,C0146,HEALTH,ACTIVE,2026-04-21,2041-04-17,4493.15,2413733.76,ZAR,ANNUALLY,1,PREFERRED
POL0016,C0594,LIFE,CANCELLED,2026-04-01,2051-03-26,1693.37,286054.62,ZAR,MONTHLY,4,STANDARD
POL0017,C0799,INVESTMENT,CANCELLED,2022-01-27,2037-01-23,3449.76,116605.88,ZAR,MONTHLY,5,PREFERRED
POL0018,C0430,LIFE,ACTIVE,2025-05-21,2050-05-15,1721.35,400181.46,ZAR,ANNUALLY,4,DECLINED
POL0019,C0591,LIFE,ACTIVE,2022-02-23,2032-02-21,3388.71,1312626.41,ZAR,ANNUALLY,3,SUBSTANDARD
POL0020,C0573,RETIREMENT,ACTIVE,2023-04-30,2038-04-26,1945.07,162484.24,ZAR,QUARTERLY,3,SUBSTANDARD
POL0021,C0497,RETIREMENT,ACTIVE,2023-06-26,2048-06-19,24103.56,1321256.32,ZAR,QUARTERLY,4,SUBSTANDARD
POL0022,C0642,SHORT_TERM,ACTIVE,2018-03-05,2038-02-28,2760.6,902143.96,ZAR,MONTHLY,2,SUBSTANDARD
POL0023,C0200,RETIREMENT,ACTIVE,2017-01-17,2027-01-15,17405.09,496472.9,ZAR,QUARTERLY,5,SUBSTANDARD
POL0024,C0852,LIFE,ACTIVE,2016-01-15,2041-01-08,,45350.24,ZAR,ANNUALLY,2,SUBSTANDARD
POL0025,C0981,SHORT_TERM,ACTIVE,2016-01-30,2041-01-23,199.41,286778.33,ZAR,QUARTERLY,2,SUBSTANDARD
POL0026,C0624,FUNERAL,CANCELLED,2026-01-14,2051-01-08,489.74,54647.45,ZAR,QUARTERLY,4,STANDARD
POL0027,C0415,FUNERAL,ACTIVE,2016-11-29,2026-11-27,148.65,10836.59,ZAR,MONTHLY,4,STANDARD
POL0028,C0400,FUNERAL,ACTIVE,2024-04-28,2049-04-22,410.55,79248.18,ZAR,ANNUALLY,5,STANDARD
POL0029,C0891,INVESTMENT,LAPSED,2017-04-16,2047-04-09,6384.38,252356.92,ZAR,MONTHLY,2,STANDARD
POL0030,C0066,FUNERAL,ACTIVE,2020-10-11,2035-10-08,426.3,91197.51,ZAR,MONTHLY,4,STANDARD
POL0031,C0633,SHORT_TERM,CANCELLED,2017-06-17,2027-06-15,619.6,1137571.9,ZAR,MONTHLY,1,STANDARD
POL0032,C0263,FUNERAL,CANCELLED,2023-11-06,2038-11-02,137.54,59528.13,ZAR,ANNUALLY,4,STANDARD
POL0033,C0688,FUNERAL,ACTIVE,2020-02-28,2030-02-25,277.52,13059.23,ZAR,ANNUALLY,5,STANDARD
POL0034,C0388,HEALTH,PAID_UP,2023-11-06,2048-10-30,1451.69,961501.46,ZAR,ANNUALLY,3,PREFERRED
POL0035,C0220,SHORT_TERM,ACTIVE,2016-01-16,2046-01-08,-2465.01,1716541.67,ZAR,ANNUALLY,4,STANDARD
POL0036,C0672,SHORT_TERM,MATURED,2022-11-16,2027-11-15,1543.8,1421097.27,ZAR,QUARTERLY,5,SUBSTANDARD
POL0037,C0924,FUNERAL,ACTIVE,2022-11-07,2027-11-06,443.62,12447.59,ZAR,MONTHLY,5,STANDARD
POL0038,C0626,SHORT_TERM,ACTIVE,2022-11-20,2052-11-12,2132.56,791204.1,ZAR,QUARTERLY,4,DECLINED
POL0039,C0327,HEALTH,LAPSED,2025-11-17,2055-11-10,3945.54,2167578.45,ZAR,ANNUALLY,5,PREFERRED
POL0040,C0943,FUNERAL,ACTIVE,2026-08-31,2036-08-28,398.38,45860.12,ZAR,MONTHLY,2,STANDARD
POL0041,C0683,INVESTMENT,ACTIVE,2019-11-02,2024-10-31,17681.58,612791.35,ZAR,QUARTERLY,2,STANDARD
POL0042,C0795,LIFE,CANCELLED,2024-05-18,2054-05-11,4760.2,1503002.48,ZAR,MONTHLY,4,STANDARD
POL0043,C0409,RETIREMENT,ACTIVE,2026-07-16,2031-07-15,8200.37,414624.62,ZAR,ANNUALLY,1,SUBSTANDARD
POL0044,C0893,LIFE,ACTIVE,2025-03-30,2035-03-28,4137.99,1521192.3,ZAR,MONTHLY,4,STANDARD
POL0045,C0532,HEALTH,ACTIVE,2023-04-22,2028-04-20,7975.31,2001144.58,ZAR,QUARTERLY,1,STANDARD
POL0046,C0807,INVESTMENT,CANCELLED,2022-03-10,2047-03-04,9881.25,241712.33,ZAR,ANNUALLY,1,STANDARD
POL0047,C0498,HEALTH,ACTIVE,2025-11-05,2055-10-29,7353.77,757616.28,ZAR,ANNUALLY,3,STANDARD
POL0048,C0219,RETIREMENT,ACTIVE,2015-06-22,2035-06-17,15931.42,1493832.56,ZAR,ANNUALLY,2,PREFERRED
POL0049,C0399,INVESTMENT,ACTIVE,2022-07-31,2027-07-30,3883.82,190978.77,ZAR,ANNUALLY,5,PREFERRED
POL0050,C0232,INVESTMENT,ACTIVE,2015-04-25,2045-04-17,19803.55,320955.28,ZAR,QUARTERLY,3,STANDARD
POL0051,C0375,INVESTMENT,ACTIVE,2019-10-09,2039-10-04,8167.43,392183.23,ZAR,QUARTERLY,3,STANDARD
POL0052,C0460,FUNERAL,ACTIVE,2023-01-05,2033-01-02,139.12,77292.23,ZAR,MONTHLY,2,DECLINED
POL0053,C0359,RETIREMENT,LAPSED,2018-02-27,2038-02-22,11388.83,474651.67,ZAR,QUARTERLY,3,STANDARD
POL0054,C0520,RETIREMENT,MATURED,2024-05-20,2044-05-15,-14267.82,729444.95,ZAR,MONTHLY,5,STANDARD
POL0055,C0708,RETIREMENT,LAPSED,2017-03-24,2047-03-17,13564.89,285757.15,ZAR,MONTHLY,3,STANDARD
POL0056,C0333,FUNERAL,PAID_UP,2018-02-03,2033-01-30,146.45,51422.4,ZAR,MONTHLY,4,PREFERRED
