transaction_id,customer_id,account_id,amount,currency,transaction_date,transaction_time,transaction_type,description,channel,status,reference_number
TX000001,C0055,A1400,1582.15,ZAR,2024-06-11,14:15:20,INTEREST,Interest - Ref 828084,BRANCH,COMPLETED,REF8A8B6CA9CF0F
TX000002,C0664,A0244,1990.33,ZAR,2025-09-30,14:09:16,DEBIT_ORDER,Debit Order - Ref 723101,BRANCH,COMPLETED,REF03682D802770
TX000003,C0401,A0263,579.25,ZAR,2024-10-01,15:31:04,WITHDRAWAL,Withdrawal - Ref 406204,MOBILE,COMPLETED,REF6F9E17888272
TX000004,C0617,A0069,1271.16,ZAR,2025-12-28,11:20:23,WITHDRAWAL,Withdrawal - Ref 461419,BRANCH,REVERSED,REFFA6A31AA8F37
TX000005,C0315,A0086,13670.97,ZAR,2024-02-07,01:26:07,DEPOSIT,Deposit - Ref 593107,ONLINE,COMPLETED,REFF3F806043B63
TX000006,C0235,A0634,828.0,ZAR,2026-08-17,11:36:17,DEBIT_ORDER,Debit Order - Ref 938148,MOBILE,COMPLETED,REF0F9154F00487
TX000007,C0254,A0328,1272.57,ZAR,2025-07-18,18:15:59,TRANSFER,Transfer - Ref 794861,MOBILE,FAILED,REFB31F2D5BA662
TX000008,C0475,A0303,33866.19,,2026-02-12,00:53:26,REVERSAL,Reversal - Ref 440711,ONLINE,COMPLETED,REFEF3FBF45003C
TX000009,C0774,A0212,14461.03,ZAR,2024-06-21,04:58:34,DEPOSIT,Deposit - Ref 780638,ONLINE,COMPLETED,REFB776C0E8F45A
TX000010,C0952,A0055,196.17,ZAR,2024-10-17,13:35:44,FEE,Fee - Ref 469833,ONLINE,COMPLETED,REFB95DEE98EDB4
TX000011,C0446,A0526,188.01,ZAR,2026-04-10,10:37:21,FEE,Fee - Ref 153535,ONLINE,COMPLETED,REFA2E70489DEFC
TX000012,C0011,A1446,217.21,ZAR,2025-05-26,15:31:49,FEE,Fee - Ref 665112,MOBILE,COMPLETED,REF578236AED65E
TX000013,C0544,A0444,1432.87,ZAR,2025-10-23,04:31:26,WITHDRAWAL,Withdrawal - Ref 999495,POS,COMPLETED,REF3A5983037F13
TX000014,C0029,A1231,624.3,ZAR,2024-09-26,21:52:26,PAYMENT,Payment - Ref 137083,ONLINE,COMPLETED,REFB6CDD9C2D5CE
TX000015,C0157,A0501,2832.17,ZAR,2026-01-08,21:52:53,INTEREST,Interest - Ref 249020,POS,COMPLETED,REFCD2401797AE9
TX000016,,A1153,2102.9,ZAR,2024-07-07,21:11:09,PAYMENT,Payment - Ref 165083,MOBILE,COMPLETED,REF3C3E608FFAF8
TX000017,C0365,A0691,628.85,ZAR,2025-02-14,03:29:49,PAYMENT,Payment - Ref 734904,ONLINE,COMPLETED,REFDE81886228BA
TX000018,C0935,A0947,627.11,ZAR,2026-07-28,23:04:21,PAYMENT,Payment - Ref 811160,ONLINE,COMPLETED,REFC2A6F06F9855
TX000019,C0228,A0425,847.22,ZAR,2024-09-15,09:39:02,WITHDRAWAL,Withdrawal - Ref 579299,MOBILE,COMPLETED,REF4E000C8EEBF8
TX000020,C0887,A0336,102.52,ZAR,2025-01-26,05:46:04,TRANSFER,Transfer - Ref 678009,MOBILE,COMPLETED,REF2D0D95C80709
TX000021,C0202,A1406,118.52,ZAR,2025-08-25,23:40:54,WITHDRAWAL,Withdrawal - Ref 979838,ONLINE,COMPLETED,REF55CE05F5F401
TX000022,C0815,A1184,3918.15,ZAR,2025-09-16,04:07:00,INTEREST,Interest - Ref 991395,MOBILE,COMPLETED,REF8DDA4607FE9E
TX000023,C0880,A0175,1698.86,ZAR,2024-06-26,13:02:55,DEPOSIT,Deposit - Ref 158356,ATM,COMPLETED,REFF1539813BB89
TX000024,C0364,A0298,241.57,ZAR,2025-10-30,14:28:47,WITHDRAWAL,Withdrawal - Ref 393316,ONLINE,COMPLETED,REFA7B5E6D0BFC4
TX000025,C0024,A0647,1598.94,ZAR,2025-09-27,17:20:31,DEBIT_ORDER,Debit Order - Ref 871057,MOBILE,PENDING,REFD94B84698D65
TX000026,C0856,A0342,1202.28,ZAR,2024-03-04,12:12:09,DEPOSIT,Deposit - Ref 266492,BRANCH,COMPLETED,REF3510034A5056
TX000027,C0116,A1421,201.39,ZAR,2026-09-10,02:10:26,PAYMENT,Payment - Ref 704946,MOBILE,PENDING,REF193D986ACC27
TX000028,C0633,A0530,3521.41,ZAR,2025-01-09,16:37:20,INTEREST,Interest - Ref 244026,BRANCH,COMPLETED,REFF7AD3B09F616
TX000029,C0948,A0837,6366.33,ZAR,2026-05-14,18:26:52,PAYMENT,Payment - Ref 826254,ATM,COMPLETED,REF9EA2547CB0C2
TX000030,C0138,A0544,7823.79,ZAR,2025-10-04,08:58:52,REVERSAL,Reversal - Ref 459285,ONLINE,COMPLETED,REF12B97DD98B09
TX000031,C0689,A0928,34759.1,ZAR,2025-04-25,15:35:57,REVERSAL,Reversal - Ref 662396,ONLINE,COMPLETED,REFD7BD58D0F43A
TX000032,C0521,A1428,836.37,ZAR,2025-03-02,10:30:29,DEBIT_ORDER,Debit Order - Ref 580403,ATM,COMPLETED,REFE3D5C472F3F4
TX000033,C0498,A0889,2000.78,ZAR,2024-05-25,19:32:32,TRANSFER,Transfer - Ref 736132,MOBILE,PENDING,REFDB3EDBB4A3E5
TX000034,C0279,A1118,198.4,ZAR,2024-06-07,12:33:03,DEBIT_ORDER,Debit Order - Ref 934210,MOBILE,COMPLETED,REFCA03EC0B3D5B
TX000035,C0735,A0301,3438.22,ZAR,2024-03-13,22:41:48,INTEREST,Interest - Ref 496000,ONLINE,COMPLETED,REF4B0BBB519D93
TX000036,C0358,A0003,101.96,ZAR,2025-05-19,02:41:33,FEE,Fee - Ref 544853,ONLINE,COMPLETED,REFF5AC3E0FF516
TX000037,C0749,A1469,2718.32,ZAR,2024-01-11,06:04:44,INTEREST,Interest - Ref 980101,POS,COMPLETED,REF29A104BE47D4
TX000038,C0189,A0626,48472.23,ZAR,2025-08-14,11:40:04,REVERSAL,Reversal - Ref 251356,MOBILE,COMPLETED,REF0EFDC306A26E
TX000039,C0252,A0253,1729.55,ZAR,2026-02-18,08:08:35,DEPOSIT,Deposit - Ref 817972,MOBILE,REVERSED,REF6D8D02ACC73C
TX000040,C0588,A1377,1252.76,ZAR,2024-03-26,12:50:01,DEBIT_ORDER,Debit Order - Ref 188857,MOBILE,COMPLETED,REF96722FE686C6
TX000041,C0113,A1264,275.56,ZAR,2025-07-23,00:33:28,DEBIT_ORDER,Debit Order - Ref 102897,POS,COMPLETED,REF56224E88FBBF
TX000042,C0358,A0003,2434.64,ZAR,2026-07-08,03:23:10,INTEREST,Interest - Ref 141323,MOBILE,COMPLETED,REF977AAFB65501
TX000043,C0479,A1484,1721.3,ZAR,2025-04-27,09:03:18,PAYMENT,Payment - Ref 337071,ONLINE,REVERSED,REF493D16750CE2
TX000044,C0204,A1186,367.34,ZAR,2025-09-03,12:28:44,FEE,Fee - Ref 259033,MOBILE,COMPLETED,REF2778A148983B
TX000045,C0668,A0171,533.38,ZAR,2024-12-01,02:05:02,PAYMENT,Payment - Ref 968931,MOBILE,COMPLETED,REF11B18C55A1C9
TX000046,C0107,A1386,2597.26,ZAR,2024-04-18,15:35:47,REVERSAL,Reversal - Ref 479711,ONLINE,COMPLETED,REF607EDE96BF86
TX000047,C0166,A0763,772.76,ZAR,2024-06-01,11:42:18,PAYMENT,Payment - Ref 692808,MOBILE,COMPLETED,REFD0F8674F1ADD
TX000048,C0635,A1284,364.42,ZAR,2025-12-21,21:39:11,WITHDRAWAL,Withdrawal - Ref 134364,ONLINE,REVERSED,REFFD0BCA18EB1D
TX000049,C0518,A0353,18255.5,ZAR,2025-10-01,19:30:17,REVERSAL,Reversal - Ref 779919,MOBILE,COMPLETED,REF13F3BB1C4978
TX000050,C0652,A1360,321.8,ZAR,2026-06-07,19:27:20,FEE,Fee - Ref 723905,ATM,REVERSED,REF527D725F2E69
TX000051,C0235,A0634,10124.71,ZAR,2026-05-01,05:22:09,DEBIT_ORDER,Debit Order - Ref 502210,BRANCH,COMPLETED,REF82C766057E5D
TX000052,C0922,A0529,2940.99,ZAR,2024-02-27,09:05:25,DEPOSIT,Deposit - Ref 398019,ONLINE,COMPLETED,REFF452FB12037C
TX000053,C0495,A0433,14621.45,ZAR,2026-08-21,21:54:23,REVERSAL,Reversal - Ref 197429,POS,REVERSED,REFB3B138563C5D
TX000054,C0828,A0489,46874.72,ZAR,2025-09-19,07:55:28,REVERSAL,Reversal - Ref 927761,MOBILE,COMPLETED,REF8EAD5278F20E
TX000055,C0514,A1175,18997.06,ZAR,2024-04-27,23:43:57,REVERSAL,Reversal - Ref 495023,ATM,COMPLETED,REF2A83C4D46CC5
TX000056,C0019,A1086,175.03,ZAR,2026-02-24,02:51:50,FEE,Fee - Ref 580043,MOBILE,COMPLETED,REFCD80D9046352
TX000057,C0253,A0744,308.2,ZAR,2025-09-22,23:25:33,DEBIT_ORDER,Debit Order - Ref 633871,ONLINE,COMPLETED,REFB9A2270DA8E3
TX000058,C0004,A1254,2942.61,ZAR,2025-06-11,01:13:52,PAYMENT,Payment - Ref 935677,MOBILE,COMPLETED,REF079370FE28D1
TX000059,C0624,A0581,253.4,ZAR,2025-11-21,11:28:16,PAYMENT,Payment - Ref 378431,MOBILE,COMPLETED,REF1DB17A51CA6E
