account_id,customer_id,account_type,currency,balance,opened_date,status,branch_code,interest_rate,last_activity_date,_quarantine_reason
A0045,FAKE_000C12FB,CHEQUE,ZAR,-4594.44,2024-07-15,ACTIVE,BR661,0.0,2025-12-28,BROKEN_FK_customer_id_to_customers
A0053,FAKE_33045494,MONEY_MARKET,ZAR,1262472.06,2018-11-22,ACTIVE,BR711,10.29,2025-07-02,BROKEN_FK_customer_id_to_customers
A0141,UNKNOWN,MONEY_MARKET,ZAR,2605162.36,2018-01-31,ACTIVE,BR146,5.88,2022-11-21,BROKEN_FK_customer_id_to_customers
A0282,FAKE_74D7945B,SAVINGS,ZAR,269756.67,2021-10-02,ACTIVE,BR986,12.03,2022-02-13,BROKEN_FK_customer_id_to_customers
A0291,FAKE_63BA6DBD,CREDIT,ZAR,-34903.93,2020-04-11,ACTIVE,BR442,12.48,2025-09-16,BROKEN_FK_customer_id_to_customers
A0305,FAKE_5DDD0BD8,CHEQUE,ZAR,5352.03,2017-07-06,ACTIVE,BR719,0.0,2023-05-24,BROKEN_FK_customer_id_to_customers
A0345,FAKE_02BF424D,FIXED_DEPOSIT,ZAR,630398.89,2019-07-30,ACTIVE,BR118,12.43,2022-05-13,BROKEN_FK_customer_id_to_customers
A0380,UNKNOWN,FIXED_DEPOSIT,ZAR,802292.46,2024-07-18,ACTIVE,BR987,2.51,2026-06-20,BROKEN_FK_customer_id_to_customers
A0400,FAKE_1940D5B7,MONEY_MARKET,ZAR,2989009.64,2022-12-03,ACTIVE,BR269,5.77,2024-03-31,BROKEN_FK_customer_id_to_customers
A0415,FAKE_EA548AB1,FIXED_DEPOSIT,ZAR,1299527.49,2016-03-16,ACTIVE,BR900,9.6,2021-11-18,BROKEN_FK_customer_id_to_customers
A0418,UNKNOWN,CREDIT,ZAR,-36570.73,2023-06-06,ACTIVE,BR513,11.1,2024-11-24,BROKEN_FK_customer_id_to_customers
A0422,UNKNOWN,SAVINGS,ZAR,456956.02,2018-11-21,ACTIVE,BR135,7.57,2025-11-04,BROKEN_FK_customer_id_to_customers
A0436,FAKE_19A0BB1E,MONEY_MARKET,ZAR,3413268.32,2016-04-10,ACTIVE,BR803,5.83,2019-04-18,BROKEN_FK_customer_id_to_customers
A0448,UNKNOWN,CHEQUE,ZAR,163219.36,2025-05-19,DORMANT,BR847,0.0,2025-06-20,BROKEN_FK_customer_id_to_customers
A0452,UNKNOWN,FIXED_DEPOSIT,ZAR,433056.42,2024-05-16,ACTIVE,BR112,7.51,2025-08-02,BROKEN_FK_customer_id_to_customers
A0469,UNKNOWN,CHEQUE,ZAR,166921.95,2021-02-24,ACTIVE,BR628,0.0,2022-04-29,BROKEN_FK_customer_id_to_customers
A0473,FAKE_063FEE5E,CHEQUE,ZAR,163782.38,2025-12-09,DORMANT,BR676,0.0,2026-05-17,BROKEN_FK_customer_id_to_customers
A0515,FAKE_99A06E86,MONEY_MARKET,ZAR,1974442.22,2023-12-14,ACTIVE,BR453,9.42,2025-07-22,BROKEN_FK_customer_id_to_customers
A0519,FAKE_4E6A17F5,SAVINGS,ZAR,381627.78,2018-07-22,DORMANT,BR783,6.25,2026-05-24,BROKEN_FK_customer_id_to_customers
A0527,FAKE_8DB06DCE,FIXED_DEPOSIT,ZAR,1900758.48,2017-12-13,ACTIVE,BR912,10.69,2019-05-21,BROKEN_FK_customer_id_to_customers
A0544,FAKE_5DAA417F,CHEQUE,ZAR,174343.96,2016-09-17,ACTIVE,BR114,0.0,2023-04-02,BROKEN_FK_customer_id_to_customers
A0556,UNKNOWN,SAVINGS,ZAR,240251.77,2020-07-11,ACTIVE,BR177,3.57,2022-02-11,BROKEN_FK_customer_id_to_customers
A0563,FAKE_3AD58949,CHEQUE,ZAR,145252.17,2017-10-10,ACTIVE,BR952,0.0,2022-05-23,BROKEN_FK_customer_id_to_customers
A0572,UNKNOWN,MONEY_MARKET,ZAR,1369675.13,2019-05-14,ACTIVE,BR478,3.13,2023-11-25,BROKEN_FK_customer_id_to_customers
A0589,FAKE_55A33E5A,MONEY_MARKET,ZAR,1517861.84,2025-06-12,ACTIVE,BR310,11.51,2025-09-17,BROKEN_FK_customer_id_to_customers
A0656,FAKE_5494E821,SAVINGS,ZAR,72036.42,2020-06-22,ACTIVE,BR328,5.52,2021-04-01,BROKEN_FK_customer_id_to_customers
A0672,UNKNOWN,CREDIT,ZAR,-59387.98,2017-12-22,ACTIVE,BR586,10.8,2018-01-11,BROKEN_FK_customer_id_to_customers
A0694,UNKNOWN,MONEY_MARKET,ZAR,3817907.9575,2025-04-23,ACTIVE,BR870,6.95,2026-07-31,BROKEN_FK_customer_id_to_customers
A0699,UNKNOWN,CHEQUE,ZAR,23589.51,2026-04-23,ACTIVE,BR897,0.0,2026-07-02,BROKEN_FK_customer_id_to_customers
A0764,UNKNOWN,FIXED_DEPOSIT,ZAR,923197.14,2018-03-14,ACTIVE,BR811,2.69,2019-03-10,BROKEN_FK_customer_id_to_customers
