payment_id,customer_id,account_id,policy_id,amount,currency,payment_date,payment_method,status,reference,failure_reason,_quarantine_reason
PAY004385,C0637,A1191,,310.26,ZAR,2026-02-11,CASH,COMPLETED,PAYREFD15E2D83FB,,EXACT_DUPLICATE
PAY006480,C0997,A1330,,653.6,ZAR,2025-05-06,DEBIT_ORDER,COMPLETED,PAYREFBCADA1779D,,EXACT_DUPLICATE
PAY005614,C0454,A0155,,3511.45,ZAR,2025-08-10,DEBIT_ORDER,PENDING,PAYREFBF067E593E,,EXACT_DUPLICATE
PAY008924,C0775,A0159,POL0286,1380.79,ZAR,2025-07-21,CARD,COMPLETED,PAYREFE8E592DAD3,,EXACT_DUPLICATE
PAY006336,C0976,A0936,POL0264,305.89,ZAR,2026-04-03,MOBILE,FAILED,PAYREF0541F0D66D,Technical error,EXACT_DUPLICATE
PAY004084,C0808,A0288,POL0049,1601.87,ZAR,2026-03-27,EFT,COMPLETED,PAYREF45EF82F2B1,,EXACT_DUPLICATE
PAY000277,C0381,A1500,POL0187,1650.53,ZAR,2026-04-15,DEBIT_ORDER,COMPLETED,PAYREF4DF8C6CEA5,,EXACT_DUPLICATE
PAY009568,C0648,A0751,POL0438,703.24,ZAR,2024-11-05,MOBILE,COMPLETED,PAYREFB6AC144DC4,,EXACT_DUPLICATE
PAY007469,C0127,A1328,,1264.28,ZAR,2024-08-26,MOBILE,COMPLETED,PAYREF61DB3C2165,,EXACT_DUPLICATE
PAY007268,C0668,A1435,POL0756,521.39,ZAR,2024-09-08,DEBIT_ORDER,COMPLETED,PAYREFA5BA3D77F4,,EXACT_DUPLICATE
PAY008572,C0107,A0048,POL0512,305.39,ZAR,2024-03-01,MOBILE,COMPLETED,PAYREF77F4B6E880,,EXACT_DUPLICATE
PAY001728,C0393,A0829,,1207.38,ZAR,2026-08-01,MOBILE,COMPLETED,PAYREFE80C7EA783,,EXACT_DUPLICATE
PAY004874,C0682,A0962,POL0787,425.44,ZAR,2026-09-15,DEBIT_ORDER,COMPLETED,PAYREF4220C879CF,,EXACT_DUPLICATE
PAY001989,C0002,A1276,,1763.0,ZAR,2024-10-18,CARD,FAILED,PAYREFB98D70E158,Limit exceeded,EXACT_DUPLICATE
PAY009073,C0450,A1168,,407.02,ZAR,2024-10-25,EFT,REVERSED,PAYREF7503B514CD,,EXACT_DUPLICATE
PAY004409,C0888,A1455,,1308.98,ZAR,2024-01-30,CARD,FAILED,PAYREFF1D291ECF6,Invalid account,EXACT_DUPLICATE
PAY003250,C0006,A1312,POL0131,1931.11,ZAR,2024-07-31,CASH,PENDING,PAYREFEE0E8AF204,,EXACT_DUPLICATE
PAY000564,C0684,A0425,POL0513,460.93,ZAR,2025-05-19,CASH,COMPLETED,PAYREF42AA767475,,EXACT_DUPLICATE
PAY007473,C0567,A0148,,548.65,ZAR,2024-12-17,DEBIT_ORDER,COMPLETED,PAYREFF3E1DDDBE4,,EXACT_DUPLICATE
PAY009027,C0709,A0551,POL0616,1423.26,ZAR,2024-10-26,EFT,COMPLETED,PAYREF1E0C7CD984,,EXACT_DUPLICATE
PAY002431,C0817,A0725,POL0622,1540.64,ZAR,2025-11-20,CASH,COMPLETED,PAYREF712FA7DAB8,,EXACT_DUPLICATE
PAY001372,C0673,A0038,POL0661,544.1,ZAR,2025-09-30,MOBILE,COMPLETED,PAYREF5D90BE48DB,,EXACT_DUPLICATE
PAY007023,C0765,A0875,,482.08,ZAR,2026-04-11,MOBILE,FAILED,PAYREFC38E9BD505,Limit exceeded,EXACT_DUPLICATE
PAY004254,C0077,A1293,POL0683,2665.5,ZAR,2026-05-12,EFT,COMPLETED,PAYREFD153DC72ED,,EXACT_DUPLICATE
PAY000824,C0558,A1303,,1630.77,ZAR,2025-07-03,EFT,PENDING,PAYREF5F1CAD3C49,,EXACT_DUPLICATE
PAY004396,C0418,A0303,,700.44,ZAR,2026-07-26,MOBILE,PENDING,PAYREFB8F87EC050,,EXACT_DUPLICATE
PAY006169,C0495,A1488,POL0643,2954.7,ZAR,2024-04-09,EFT,COMPLETED,PAYREF7C6546C104,,EXACT_DUPLICATE
PAY006293,C0558,A0203,POL0723,1548.72,ZAR,2025-09-30,CARD,COMPLETED,PAYREFA9CAE7F041,,EXACT_DUPLICATE
PAY004862,C0673,A1437,POL0045,923.02,ZAR,2025-05-26,DEBIT_ORDER,COMPLETED,PAYREF1CE10FFE3A,,EXACT_DUPLICATE
PAY007550,C0302,A0371,POL0342,2274.97,ZAR,2025-05-20,CASH,COMPLETED,PAYREFF0AE55C0C9,,EXACT_DUPLICATE
PAY002014,C0866,A1323,,3582.32,ZAR,2025-10-23,MOBILE,PENDING,PAYREF90DB7BBFF9,,EXACT_DUPLICATE
PAY008493,C0107,A0895,POL0513,301.03,ZAR,2026-03-11,DEBIT_ORDER,COMPLETED,PAYREFD5C8EA096D,,EXACT_DUPLICATE
PAY001174,C0508,A0534,POL0765,2004.53,ZAR,2026-07-18,CASH,FAILED,PAYREFEFE4BB2CE6,Invalid account,EXACT_DUPLICATE
PAY009644,C0232,A0827,,156.61,ZAR,2026-06-18,EFT,REVERSED,PAYREF79B63E12F3,,EXACT_DUPLICATE
PAY003251,C0187,A0228,,2181.68,ZAR,2024-07-06,CARD,COMPLETED,PAYREFDA72DE8FED,,EXACT_DUPLICATE
PAY003456,C0218,A0649,,528.64,ZAR,2026-08-27,CASH,COMPLETED,PAYREFC252F978CE,,EXACT_DUPLICATE
