policy_id,customer_id,policy_type,status,start_date,end_date,premium_amount,cover_amount,currency,payment_frequency,beneficiary_count,underwriting_status,_quarantine_reason
POL0005,UNKNOWN,RETIREMENT,ACTIVE,2021-02-06,2026-02-05,12952.6,942883.45,ZAR,ANNUALLY,2,STANDARD,BROKEN_FK_customer_id_to_customers
POL0074,UNKNOWN,LIFE,LAPSED,2021-04-03,2041-03-29,398.81,46633.75,ZAR,QUARTERLY,4,STANDARD,BROKEN_FK_customer_id_to_customers
POL0118,UNKNOWN,SHORT_TERM,PAID_UP,2020-02-02,2045-01-26,2773.6,315370.88,ZAR,ANNUALLY,1,STANDARD,BROKEN_FK_customer_id_to_customers
POL0207,UNKNOWN,HEALTH,ACTIVE,2016-01-14,2046-01-06,6487.94,4789704.660000001,ZAR,MONTHLY,4,PREFERRED,BROKEN_FK_customer_id_to_customers
POL0301,UNKNOWN,INVESTMENT,ACTIVE,2021-07-19,2036-07-15,19615.03,222318.54,ZAR,MONTHLY,1,STANDARD,BROKEN_FK_customer_id_to_customers
POL0402,UNKNOWN,FUNERAL,ACTIVE,2021-11-27,2026-11-26,189.26,66856.62,ZAR,QUARTERLY,5,PREFERRED,BROKEN_FK_customer_id_to_customers
POL0403,UNKNOWN,RETIREMENT,ACTIVE,2025-10-02,2055-09-25,17814.3,836536.41,ZAR,ANNUALLY,3,STANDARD,BROKEN_FK_customer_id_to_customers
POL0457,UNKNOWN,INVESTMENT,ACTIVE,2025-02-25,2035-02-23,16207.95,497031.88,ZAR,ANNUALLY,3,STANDARD,BROKEN_FK_customer_id_to_customers
POL0499,UNKNOWN,INVESTMENT,CANCELLED,2026-07-28,2041-07-24,13564.1,430021.69,ZAR,MONTHLY,2,STANDARD,BROKEN_FK_customer_id_to_customers
POL0541,UNKNOWN,RETIREMENT,ACTIVE,2017-01-03,2046-12-27,13452.75,622897.17,ZAR,ANNUALLY,5,PREFERRED,BROKEN_FK_customer_id_to_customers
POL0565,UNKNOWN,HEALTH,ACTIVE,2023-05-27,2033-05-24,6685.54,3328745.72,ZAR,ANNUALLY,2,PREFERRED,BROKEN_FK_customer_id_to_customers
POL0570,UNKNOWN,FUNERAL,MATURED,2020-07-26,2030-07-24,341.29,51135.64,ZAR,ANNUALLY,3,STANDARD,BROKEN_FK_customer_id_to_customers
POL0706,UNKNOWN,INVESTMENT,ACTIVE,2016-10-12,2026-10-10,8041.81,81777.33,ZAR,ANNUALLY,1,SUBSTANDARD,BROKEN_FK_customer_id_to_customers
POL0724,UNKNOWN,RETIREMENT,LAPSED,2025-06-14,2045-06-09,15389.26,515431.8,ZAR,ANNUALLY,4,STANDARD,BROKEN_FK_customer_id_to_customers
POL0739,UNKNOWN,RETIREMENT,PAID_UP,2024-08-10,2054-08-03,23671.26,1926775.39,ZAR,ANNUALLY,3,PREFERRED,BROKEN_FK_customer_id_to_customers
POL0777,UNKNOWN,HEALTH,ACTIVE,2019-04-04,2029-04-01,1763.99,4092840.12,ZAR,QUARTERLY,1,PREFERRED,BROKEN_FK_customer_id_to_customers
