transaction_id,customer_id,account_id,amount,currency,transaction_date,transaction_time,transaction_type,description,channel,status,reference_number,_quarantine_reason
TX033554,C0941,A0146,1075.49,ZAR,2024-10-12,13:17:59,WITHDRAWAL,Withdrawal - Ref 236160,ONLINE,COMPLETED,REFFCFD11A8E3B6,EXACT_DUPLICATE
TX009428,C0397,A1338,1219.85,ZAR,2024-08-25,05:45:26,DEPOSIT,Deposit - Ref 612274,ATM,PENDING,REFE193F826071A,EXACT_DUPLICATE
TX000200,C0240,A0937,401.12,ZAR,2024-06-25,23:49:19,FEE,Fee - Ref 613249,ONLINE,COMPLETED,REF6F484B9D0204,EXACT_DUPLICATE
TX012448,C0489,A1494,62.15,ZAR,2024-09-18,11:02:25,FEE,Fee - Ref 156315,ATM,COMPLETED,REF4F03B8A24D5F,EXACT_DUPLICATE
TX039490,C0197,A1096,1982.88,ZAR,2026-08-04,20:52:48,PAYMENT,Payment - Ref 424485,ATM,COMPLETED,REF8BFFFD4E95DC,EXACT_DUPLICATE
TX042725,C0362,A0843,80.35,ZAR,2025-04-15,02:55:23,WITHDRAWAL,Withdrawal - Ref 241244,MOBILE,COMPLETED,REF77D20CBE85D7,EXACT_DUPLICATE
TX010823,C0963,A0826,2493.25,ZAR,2025-07-04,15:54:06,DEBIT_ORDER,Debit Order - Ref 192110,ONLINE,COMPLETED,REF3CEA63688371,EXACT_DUPLICATE
TX049499,C0106,A1378,1769.76,ZAR,2025-08-06,06:00:53,DEBIT_ORDER,Debit Order - Ref 871624,ONLINE,COMPLETED,REF1E39489965B1,EXACT_DUPLICATE
TX004145,C0033,A1013,729.88,ZAR,2024-07-23,10:14:33,TRANSFER,Transfer - Ref 853379,MOBILE,COMPLETED,REF5F556DBC8713,EXACT_DUPLICATE
TX036959,C0754,A0073,461.11,ZAR,2025-09-12,21:25:47,FEE,Fee - Ref 935074,ONLINE,COMPLETED,REF7D875E35585B,EXACT_DUPLICATE
TX043107,C0992,A1261,419.91,ZAR,2026-06-29,05:41:01,DEPOSIT,Deposit - Ref 372030,MOBILE,COMPLETED,REF1ECAF49F281E,EXACT_DUPLICATE
TX038696,C0671,A0799,31758.38,ZAR,2024-03-03,02:53:14,REVERSAL,Reversal - Ref 211614,MOBILE,COMPLETED,REFDD7DC8E63C7B,EXACT_DUPLICATE
TX006189,C0236,A0787,22.15,ZAR,2026-05-17,05:28:39,INTEREST,Interest - Ref 196143,BRANCH,REVERSED,REF57C7F37BCF73,EXACT_DUPLICATE
TX001415,C0209,A0058,17935.87,ZAR,2025-12-22,05:51:59,DEPOSIT,Deposit - Ref 652868,ATM,COMPLETED,REFAA0D90F52A00,EXACT_DUPLICATE
